City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dzhetygara,52.1908,61.2006,272.89,77,100,4.29,KZ,1701039950
84,aasiaat,68.7098,-52.8699,266.39,96,100,3.96,GL,1701039951
85,port alfred,-33.5906,26.891,292.69,97,16,1.57,ZA,1701039952
86,hithadhoo,-0.6,73.0833,300.53,75,64,1.2,MV,1701039860
87,hermanus,-34.4187,19.2345,290.24,79,9,0.08,ZA,1701039953
88,portland,45.5234,-122.6762,285.48,48,40,4.63,US,1701039244
89,edinburgh of the seven seas,-37.0676,-12.3116,286.0,67,10,13.95,SH,1701039954
90,tamalous,36.8376,6.6402,284.63,77,0,1.99,DZ,1701039955
91,vorgashor,67.5833,63.95,253.91,100,92,1.5,RU,1701039955
92,atafu village,-8.5421,-172.5159,302.82,75,60,5.9,TK,1701039956
93,remire-montjoly,4.9167,-52.2667,300.17,89,20,0.51,GF,1701039956
94,hadithah,34.1397,42.3781,292.63,42,40,3.26,IQ,1701039957
95,lagos,6.5833,3.75,298.33,93,100,1.15,NG,1701039722
96,pacasmayo,-7.4006,-79.5714,293.88,77,44,5.49,PE,1701039958
97,luderitz,-26.6481,15.1594,293.72,52,0,8.84,NA,1701039959
98,praia da vitoria,38.7333,-27.0667,293.29,94,75,8.11,PT,1701039959
99,labytnangi,66.6572,66.4183,251.01,99,67,1.37,RU,1701039960
100,castillos,-34.1667,-53.8333,290.27,87,3,4.54,UY,1701039961
101,saint-philippe,-21.3585,55.7679,295.92,77,29,2.49,RE,1701039961
102,verkhnevilyuysk,63.4453,120.3167,255.81,93,100,4.01,RU,1701039962
103,puerto ayora,-0.7393,-90.3518,303.13,89,66,2.68,EC,1701039963
104,tekeli,44.83,78.8239,279.67,38,62,4.48,KZ,1701039964
105,meadow lake,34.8014,-106.5436,279.89,42,2,2.01,US,1701039965
106,port elizabeth,-33.918,25.5701,293.32,84,0,1.54,ZA,1701039965
107,hailin,44.5833,129.4167,262.19,95,100,0.86,CN,1701039966
108,tazovsky,67.4667,78.7,253.91,97,89,4.75,RU,1701039967
109,blackmans bay,-43.0167,147.3167,284.11,74,96,1.79,AU,1701039967
110,tura,25.5198,90.2201,289.86,59,52,1.46,IN,1701039968
111,areia,-6.9633,-35.6917,298.92,64,1,3.89,BR,1701039969
112,gangapur,26.4833,76.7167,291.79,43,100,2.48,IN,1701039970
113,sao vicente,-23.9631,-46.3919,297.01,51,100,2.68,BR,1701039681
114,merizo village,13.2658,144.6691,303.0,84,68,8.45,GU,1701039971
115,peskovka,59.0448,52.3606,272.84,97,100,3.93,RU,1701039972
116,anadyr,64.75,177.4833,275.43,93,100,15.65,RU,1701039972
117,filipestii de padure,45.0,25.75,273.03,51,92,2.7,RO,1701039973
118,adrar,20.5022,-10.0711,291.15,19,0,4.34,MR,1701039974
119,sur,22.5667,59.5289,296.89,59,8,1.37,OM,1701039974
120,salaga,8.5508,-0.5188,298.51,77,100,1.13,GH,1701039975
121,udachny,66.4167,112.4,253.47,99,99,3.3,RU,1701039976
122,balqash,46.8481,74.995,276.48,54,98,5.74,KZ,1701039976
123,taksimo,56.3444,114.8794,253.27,90,100,1.43,RU,1701039977
124,galliano,29.4422,-90.2992,292.59,77,0,3.09,US,1701039978
125,carnarvon,-24.8667,113.6333,295.23,66,70,4.95,AU,1701039979
126,nabire,-3.3667,135.4833,296.76,94,100,1.24,ID,1701039979
127,kone,-21.0595,164.8658,300.73,52,100,1.42,NC,1701039980
128,hamilton,39.1834,-84.5333,280.92,87,100,5.14,US,1701039923
129,altamira,-3.2033,-52.2064,297.94,85,66,1.02,BR,1701039982
130,lyman,48.9884,37.8023,278.29,66,100,11.41,UA,1701039851
131,harlingen,26.1906,-97.6961,291.1,88,100,5.66,US,1701039981
132,conception bay south,47.4999,-52.9981,274.77,83,100,3.22,CA,1701039984
133,oranjemund,-28.55,16.4333,289.5,90,5,4.37,NA,1701039984
134,uturoa,-16.7333,-151.4333,299.54,78,45,8.12,PF,1701039985
135,cidreira,-30.1811,-50.2056,293.78,81,5,9.79,BR,1701039985
136,la ronge,55.1001,-105.2842,260.29,72,100,3.6,CA,1701039987
137,gaiman,-43.2897,-65.4929,288.74,36,77,7.4,AR,1701039987
138,kuta,-8.7233,115.1723,299.12,83,40,1.54,ID,1701039988
139,broome,42.2506,-75.833,279.76,85,100,4.63,US,1701039988
140,st. john's,47.5649,-52.7093,274.9,79,75,5.14,CA,1701039952
141,talnakh,69.4865,88.3972,249.62,97,95,2.42,RU,1701039990
142,buka,40.8108,69.1986,285.24,31,91,0.59,UZ,1701039991
143,kailua-kona,19.6406,-155.9956,301.13,80,20,6.17,US,1701039842
144,murun-kuren,49.6342,100.1625,259.03,88,5,2.03,MN,1701039992
145,salida,37.7058,-121.0849,289.07,48,0,2.06,US,1701039992
146,hami,42.8,93.45,275.12,44,100,3.33,CN,1701039993
147,qaqortoq,60.7167,-46.0333,267.5,93,100,1.77,GL,1701039994
148,manggar,-2.8833,108.2667,298.85,87,99,2.96,ID,1701039995
149,itoman,26.1247,127.6694,296.16,83,75,2.57,JP,1701039996
150,kenora,49.8167,-94.4337,263.69,62,75,9.26,CA,1701039826
151,jumla,29.2747,82.1838,281.61,55,100,2.3,NP,1701039997
152,firmat,-33.4594,-61.4832,301.43,28,40,3.74,AR,1701039998
153,dudinka,69.4058,86.1778,245.89,100,92,2.25,RU,1701039998
154,bada,51.392,109.8717,257.05,92,98,3.8,RU,1701039999
155,lompoc,34.6391,-120.4579,294.27,30,0,3.6,US,1701039999
156,touros,-5.1989,-35.4608,298.74,74,1,4.59,BR,1701040000
157,alice springs,-23.7,133.8833,295.9,64,27,1.54,AU,1701040001
158,rach gia,10.0167,105.0833,297.61,91,100,4.38,VN,1701040002
159,college,64.8569,-147.8028,269.51,87,75,1.54,US,1701040002
160,ayvacik,39.6011,26.4047,277.18,68,68,3.24,TR,1701040003
161,mount isa,-20.7333,139.5,299.02,65,91,4.63,AU,1701040004
162,nyurba,63.2842,118.3319,256.33,92,100,3.94,RU,1701040004
163,badger,64.8,-147.5333,269.46,88,100,1.54,US,1701040005
164,quellon,-43.1167,-73.6167,284.26,70,100,3.07,CL,1701040005
165,cockburn town,21.4612,-71.1419,300.13,65,20,4.12,TC,1701040006
166,petropavlovka,50.6114,105.3196,255.6,88,98,2.43,RU,1701040006
167,ulsteinvik,62.3432,5.8487,275.24,76,6,2.24,NO,1701040007
168,nemuro,43.3236,145.575,275.24,56,49,3.77,JP,1701040007
169,saudarkrokur,65.7461,-19.6394,275.56,86,57,4.72,IS,1701040008
170,nizhneangarsk,55.7833,109.55,257.6,78,98,3.58,RU,1701040008
171,anshun,26.25,105.9333,282.39,92,0,1.47,CN,1701040009
172,puerto aysen,-45.4,-72.7,287.04,64,81,1.16,CL,1701040010
173,luanda,-8.8368,13.2343,300.15,83,20,2.06,AO,1701040004
174,zhangye,38.9342,100.4517,272.92,46,71,0.89,CN,1701040011
175,coquimbo,-29.9533,-71.3436,289.0,82,40,5.14,CL,1701039882
176,tazacorte,28.629,-17.9293,292.69,79,75,4.12,ES,1701040012
177,klyuchi,52.2667,79.1667,273.5,51,74,2.64,RU,1701040013
178,tomatlan,19.9333,-105.25,301.06,57,43,1.49,MX,1701040013
179,ozalp,38.6548,43.993,276.23,75,12,6.15,TR,1701040014
180,chunskiy,56.0815,99.6342,251.16,100,13,1.12,RU,1701040014
